Channel       #Bin     Energy(GeV)  eLEEx=1  Signal Background  Data
==============================
numuCCpi0 FC 	10     0.90-1.00     0.00     9.02     5.20       15
numuCCpi0 FC 	11     1.00-         0.00    42.26    33.47       57
==============================
numuCCpi0 PC 	 1     0.00-0.10     0.00  1383.31   534.76     1957
numuCCpi0 PC 	 2     0.10-0.20     0.00  1047.79   375.93     1281
numuCCpi0 PC 	 3     0.20-0.30     0.00   702.69   230.84      747
numuCCpi0 PC 	 4     0.30-0.40     0.00   368.03   168.51      468
numuCCpi0 PC 	 5     0.40-0.50     0.00   194.61   103.27      274
numuCCpi0 PC 	 6     0.50-0.60     0.00   106.49    62.68      175
numuCCpi0 PC 	 7     0.60-0.70     0.00    70.89    40.75       85
numuCCpi0 PC 	 8     0.70-0.80     0.00    39.17    24.34       45
numuCCpi0 PC 	 9     0.80-0.90     0.00    30.94    21.49       43
numuCCpi0 PC 	10     0.90-1.00     0.00    24.93    18.49       33
numuCCpi0 PC 	11     1.00-         0.00    98.86    66.82      136
==============================
NCpi0        	 1     0.00-0.10     0.00  1034.49  1451.54     2422
NCpi0        	 2     0.10-0.20     0.00   714.90   720.02     1375
NCpi0        	 3     0.20-0.30     0.00   486.48   452.24      795
NCpi0        	 4     0.30-0.40     0.00   270.34   301.57      491
NCpi0        	 5     0.40-0.50     0.00   158.90   229.03      340
NCpi0        	 6     0.50-0.60     0.00    77.79   144.64      206
NCpi0        	 7     0.60-0.70     0.00    52.05    88.60      124
NCpi0        	 8     0.70-0.80     0.00    25.51    56.93       88
NCpi0        	 9     0.80-0.90     0.00    15.19    38.10       59
NCpi0        	10     0.90-1.00     0.00    14.29    35.64       36
NCpi0        	11     1.00-         0.00    60.12   169.83      204
